id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,month,year_month,year,season,house_age,basement,median_price_zip,median_price_season,status,selling_price,profit
7129300520,2014-10-13,221900.0,3,1.0,1180,5650,1.0,no,0,3,7,1180,0,1955-01-01,1970-01-01,98178,47.5112,-122.257,10,2014-10,2014,fall,old,no,279000.0,290500.0,buy,288470.0,66570.0
2976800796,2014-09-25,236000.0,3,1.0,1300,5898,1.0,no,0,3,7,1300,0,1961-01-01,1970-01-01,98178,47.5053,-122.255,9,2014-09,2014,fall,new,no,279000.0,290500.0,buy,306800.0,70800.0
2171400197,2014-09-18,350000.0,5,3.0,2520,5500,1.0,no,0,3,8,1550,970,2004-01-01,1970-01-01,98178,47.4938,-122.255,9,2014-09,2014,fall,new,yes,279000.0,290500.0,buy,385000.00000000006,35000.00000000006
1180002378,2014-09-26,299000.0,4,2.5,1950,3000,2.0,no,0,3,7,1950,0,2002-01-01,1970-01-01,98178,47.4977,-122.226,9,2014-09,2014,fall,new,no,279000.0,290500.0,buy,328900.0,29900.0
1180500070,2014-11-24,335000.0,4,2.5,2330,7050,2.0,no,0,3,8,2330,0,1998-01-01,1970-01-01,98178,47.5001,-122.23100000000001,11,2014-11,2014,fall,new,no,279000.0,290500.0,buy,368500.00000000006,33500.00000000006
179000350,2014-11-05,194000.0,3,1.5,1010,5000,1.0,no,0,3,6,1010,0,1943-01-01,1970-01-01,98178,47.4925,-122.27799999999999,11,2014-11,2014,fall,old,no,279000.0,290500.0,buy,252200.0,58200.0
7878400135,2014-11-20,355000.0,3,2.25,2550,9674,1.0,no,0,3,7,1850,700,1959-01-01,1970-01-01,98178,47.4856,-122.24700000000001,11,2014-11,2014,fall,new,yes,279000.0,290500.0,buy,390500.00000000006,35500.00000000006
7887200390,2014-09-26,294000.0,3,1.0,1320,9520,1.0,no,0,3,7,990,330,1953-01-01,1970-01-01,98178,47.4857,-122.25299999999999,9,2014-09,2014,fall,old,yes,279000.0,290500.0,buy,323400.0,29400.0
7813200115,2014-09-04,100000.0,2,1.0,790,6426,1.0,no,0,3,6,790,0,1944-01-01,1970-01-01,98178,47.4933,-122.245,9,2014-09,2014,fall,old,no,279000.0,290500.0,buy,130000.0,30000.0
3352402250,2014-10-21,119900.0,2,1.0,700,3180,1.0,no,0,3,6,480,220,1951-01-01,1970-01-01,98178,47.4976,-122.262,10,2014-10,2014,fall,old,yes,279000.0,290500.0,buy,155870.0,35970.0
1180500100,2014-09-24,353000.0,4,2.75,1920,4627,1.0,no,0,3,8,1010,910,1998-01-01,1970-01-01,98178,47.5003,-122.23,9,2014-09,2014,fall,new,yes,279000.0,290500.0,buy,388300.00000000006,35300.00000000006
185000161,2014-10-15,261000.0,3,1.0,1780,7800,1.0,no,0,3,7,1060,720,1957-01-01,1970-01-01,98178,47.4932,-122.26299999999999,10,2014-10,2014,fall,new,yes,279000.0,290500.0,buy,339300.0,78300.0
8068000305,2014-11-04,241000.0,3,1.0,1150,10000,1.0,no,0,3,6,1000,150,1951-01-01,1970-01-01,98178,47.5075,-122.262,11,2014-11,2014,fall,old,yes,279000.0,290500.0,buy,313300.0,72300.0
3810000480,2014-09-19,350000.0,3,1.75,2010,6150,2.0,no,0,5,7,2010,0,1939-01-01,1970-01-01,98178,47.4975,-122.23100000000001,9,2014-09,2014,fall,old,no,279000.0,290500.0,buy,385000.00000000006,35000.00000000006
7812800865,2014-11-19,170000.0,2,1.0,810,9882,1.0,no,0,3,6,810,0,1944-01-01,1970-01-01,98178,47.4925,-122.23899999999999,11,2014-11,2014,fall,old,no,279000.0,290500.0,buy,221000.0,51000.0
7657600195,2014-11-05,199950.0,3,1.0,1340,7260,1.5,no,0,3,6,1340,0,1944-01-01,1970-01-01,98178,47.4934,-122.23700000000001,11,2014-11,2014,fall,old,no,279000.0,290500.0,buy,259935.0,59985.0
1180000625,2014-10-29,315000.0,4,2.5,1950,3225,2.0,no,0,3,7,1950,0,2002-01-01,1970-01-01,98178,47.5014,-122.226,10,2014-10,2014,fall,new,no,279000.0,290500.0,buy,346500.0,31500.0
2520900301,2014-10-22,239300.0,3,1.0,1070,5750,1.0,no,0,3,7,1070,0,1952-01-01,1970-01-01,98178,47.5071,-122.255,10,2014-10,2014,fall,old,no,279000.0,290500.0,buy,311090.0,71790.0
7812800515,2014-10-25,159075.0,4,1.5,1580,6200,1.0,no,0,3,6,790,790,1944-01-01,1970-01-01,98178,47.4971,-122.24,10,2014-10,2014,fall,old,yes,279000.0,290500.0,buy,206797.5,47722.5
7689600650,2014-09-17,323500.0,3,3.0,2240,11536,2.0,no,0,3,7,2240,0,1943-01-01,2005-01-01,98178,47.4886,-122.245,9,2014-09,2014,fall,old,no,279000.0,290500.0,buy,355850.0,32350.0
